,dport,country,having_ip_address,hostname_length,count_dir,count-www,fd_length,url_length,abnormal_url,count-http,count-letters,tld-length,count.,count-digits,count-,count=,count-https,sus_url,count?,count%,short_url,count@,count_embed_domain,malicous
0,80,0,False,8,4,0,7,83,1,1,49,2,1,18,8,0,0,0,0,0,0,0,0,False
1,80,0,False,8,4,0,7,83,1,1,43,2,1,23,9,0,0,0,0,0,0,0,0,False
2,80,0,False,8,4,0,7,83,1,1,44,2,1,22,9,0,0,0,0,0,0,0,0,False
3,80,0,False,8,4,0,7,83,1,1,46,2,1,18,11,0,0,0,0,0,0,0,0,False
4,80,0,False,8,4,0,7,83,1,1,48,2,1,18,9,0,0,0,0,0,0,0,0,False
5,80,0,False,8,4,0,7,83,1,1,46,2,1,20,9,0,0,0,0,0,0,0,0,False
6,80,0,False,8,4,0,7,83,1,1,52,2,1,15,8,0,0,0,0,0,0,0,0,False
7,80,1,False,6,3,0,4,83,1,1,67,2,2,3,0,2,0,0,1,0,0,0,0,False
8,80,2,False,7,7,0,6,83,1,1,44,2,1,16,0,0,0,0,0,12,0,0,0,False
9,80,0,False,10,5,0,5,83,1,1,53,3,2,13,7,0,0,0,0,0,0,0,0,False
10,80,0,False,10,4,0,5,83,1,1,67,3,2,0,4,1,0,0,1,0,0,0,0,False
11,80,3,False,14,3,0,2,83,1,1,62,3,2,8,5,0,0,0,0,0,0,0,0,False
12,80,0,False,21,6,0,3,83,1,1,58,3,2,11,1,0,0,0,0,0,0,0,0,False
13,80,0,False,15,5,0,4,83,1,1,45,3,2,18,0,0,0,0,0,10,0,0,0,False
14,80,4,False,10,1,0,65,83,1,1,61,2,2,10,6,0,0,0,0,0,0,0,0,False
15,80,4,False,10,1,0,36,83,1,1,65,2,1,5,6,1,0,0,1,0,0,0,0,False
16,80,4,False,10,1,0,65,83,1,1,59,2,2,10,8,0,0,0,0,0,0,0,0,False
17,80,4,False,10,1,0,65,83,1,1,58,2,2,10,9,0,0,0,0,0,0,0,0,False
18,80,4,False,10,1,0,36,83,1,1,65,2,1,5,6,1,0,0,1,0,0,0,0,False
19,80,4,False,10,1,0,36,83,1,1,65,2,1,5,6,1,0,0,1,0,0,0,0,False
20,80,4,False,10,1,0,65,83,1,1,56,2,2,12,9,0,0,0,0,0,0,0,0,False
21,80,4,False,10,1,0,65,83,1,1,58,2,2,12,7,0,0,0,0,0,0,0,0,False
22,80,4,False,10,1,0,65,83,1,1,60,2,2,10,7,0,0,0,0,0,0,0,0,False
23,80,0,False,14,2,0,8,83,1,1,65,3,2,5,2,2,0,0,1,0,0,0,0,False
24,80,0,False,14,3,0,6,83,1,1,67,3,2,1,3,1,0,0,1,0,0,0,0,False
25,80,0,False,14,3,0,6,83,1,1,64,3,2,5,2,2,0,0,1,0,0,0,0,False
26,80,0,False,14,3,0,6,83,1,1,62,3,2,8,1,2,0,0,1,0,0,0,0,False
27,80,0,False,14,3,0,6,83,1,1,68,3,2,1,2,1,0,0,1,0,0,0,0,False
28,80,0,False,14,3,0,6,83,1,1,67,3,2,1,3,1,0,0,1,0,0,0,0,False
29,80,0,False,14,3,0,6,83,1,1,62,3,2,8,1,2,0,0,1,0,0,0,0,False
30,80,0,False,14,4,0,5,83,1,1,64,3,2,5,2,1,0,0,1,0,0,0,0,False
31,80,0,False,14,4,0,5,83,1,1,63,3,2,6,2,1,0,0,1,0,0,0,0,False
32,80,0,False,14,4,0,5,83,1,1,65,3,2,5,1,1,0,0,1,0,0,0,0,False
33,80,0,False,13,3,0,4,83,1,1,56,3,1,10,10,0,0,0,0,0,0,0,0,False
34,80,3,False,6,4,0,7,83,1,1,61,3,1,4,10,0,0,0,0,0,0,0,0,False
35,80,3,False,6,4,0,7,83,1,1,63,3,1,4,8,0,0,0,0,0,0,0,0,False
